asset_kind,id,route_slug,local_file_name,source_rel_path,planned_drive_folder,drive_file_id,drive_file_url,privacy,notes
clip_video,lo-dev-012,lender-marketplace-and-live-help-buttons,marketplace__lender-marketplace-and-live-help-buttons__lo-kickoff.mp4,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/videos/marketplace__lender-marketplace-and-live-help-buttons__lo-kickoff.mp4,Cutdown Clip Library,,,"restricted (link, not public)",Lender Marketplace and Live Help Buttons | playlist: LO Development Resource Clips
clip_thumbnail,lo-dev-012,lender-marketplace-and-live-help-buttons,marketplace__lender-marketplace-and-live-help-buttons__lo-kickoff.jpg,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/thumbnails/marketplace__lender-marketplace-and-live-help-buttons__lo-kickoff.jpg,Thumbnails,,,"restricted (link, not public)",Thumbnail for lo-dev-012
clip_caption,lo-dev-012,lender-marketplace-and-live-help-buttons,marketplace__lender-marketplace-and-live-help-buttons__lo-kickoff.srt,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/captions/marketplace__lender-marketplace-and-live-help-buttons__lo-kickoff.srt,Captions,,,"restricted (link, not public)",Caption for lo-dev-012
clip_markdown,lo-dev-012,lender-marketplace-and-live-help-buttons,marketplace__lender-marketplace-and-live-help-buttons__lo-kickoff.md,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/markdown/marketplace__lender-marketplace-and-live-help-buttons__lo-kickoff.md,Markdown Notes,,,"restricted (link, not public)",Markdown notes for lo-dev-012
clip_video,lo-dev-013,internal-support-channels,troubleshooting__internal-support-channels__lo-kickoff.mp4,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/videos/troubleshooting__internal-support-channels__lo-kickoff.mp4,Cutdown Clip Library,,,"restricted (link, not public)",Internal Support Channels | playlist: LO Development Resource Clips
clip_thumbnail,lo-dev-013,internal-support-channels,troubleshooting__internal-support-channels__lo-kickoff.jpg,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/thumbnails/troubleshooting__internal-support-channels__lo-kickoff.jpg,Thumbnails,,,"restricted (link, not public)",Thumbnail for lo-dev-013
clip_caption,lo-dev-013,internal-support-channels,troubleshooting__internal-support-channels__lo-kickoff.srt,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/captions/troubleshooting__internal-support-channels__lo-kickoff.srt,Captions,,,"restricted (link, not public)",Caption for lo-dev-013
clip_markdown,lo-dev-013,internal-support-channels,troubleshooting__internal-support-channels__lo-kickoff.md,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/markdown/troubleshooting__internal-support-channels__lo-kickoff.md,Markdown Notes,,,"restricted (link, not public)",Markdown notes for lo-dev-013
clip_video,lo-dev-014,pricing-engine-overview,pricing-loans__pricing-engine-overview__lo-kickoff.mp4,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/videos/pricing-loans__pricing-engine-overview__lo-kickoff.mp4,Cutdown Clip Library,,,"restricted (link, not public)",Pricing Engine Overview | playlist: LO Development Resource Clips
clip_thumbnail,lo-dev-014,pricing-engine-overview,pricing-loans__pricing-engine-overview__lo-kickoff.jpg,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/thumbnails/pricing-loans__pricing-engine-overview__lo-kickoff.jpg,Thumbnails,,,"restricted (link, not public)",Thumbnail for lo-dev-014
clip_caption,lo-dev-014,pricing-engine-overview,pricing-loans__pricing-engine-overview__lo-kickoff.srt,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/captions/pricing-loans__pricing-engine-overview__lo-kickoff.srt,Captions,,,"restricted (link, not public)",Caption for lo-dev-014
clip_markdown,lo-dev-014,pricing-engine-overview,pricing-loans__pricing-engine-overview__lo-kickoff.md,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/markdown/pricing-loans__pricing-engine-overview__lo-kickoff.md,Markdown Notes,,,"restricted (link, not public)",Markdown notes for lo-dev-014
clip_video,lo-dev-015,pipeline-definitions-leads-prospects-loans,tera-and-system-navigation__pipeline-definitions-leads-prospects-loans__lo-kickoff.mp4,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/videos/tera-and-system-navigation__pipeline-definitions-leads-prospects-loans__lo-kickoff.mp4,Cutdown Clip Library,,,"restricted (link, not public)","Pipeline Definitions: Leads, Prospects, Loans | playlist: LO Development Resource Clips"
clip_thumbnail,lo-dev-015,pipeline-definitions-leads-prospects-loans,tera-and-system-navigation__pipeline-definitions-leads-prospects-loans__lo-kickoff.jpg,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/thumbnails/tera-and-system-navigation__pipeline-definitions-leads-prospects-loans__lo-kickoff.jpg,Thumbnails,,,"restricted (link, not public)",Thumbnail for lo-dev-015
clip_caption,lo-dev-015,pipeline-definitions-leads-prospects-loans,tera-and-system-navigation__pipeline-definitions-leads-prospects-loans__lo-kickoff.srt,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/captions/tera-and-system-navigation__pipeline-definitions-leads-prospects-loans__lo-kickoff.srt,Captions,,,"restricted (link, not public)",Caption for lo-dev-015
clip_markdown,lo-dev-015,pipeline-definitions-leads-prospects-loans,tera-and-system-navigation__pipeline-definitions-leads-prospects-loans__lo-kickoff.md,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/markdown/tera-and-system-navigation__pipeline-definitions-leads-prospects-loans__lo-kickoff.md,Markdown Notes,,,"restricted (link, not public)",Markdown notes for lo-dev-015
clip_video,lo-dev-016,life-of-a-loan-roles-and-responsibilities,first-file-survival-guide__life-of-a-loan-roles-and-responsibilities__lo-kickoff.mp4,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/videos/first-file-survival-guide__life-of-a-loan-roles-and-responsibilities__lo-kickoff.mp4,Cutdown Clip Library,,,"restricted (link, not public)",Life of a Loan: Roles and Responsibilities | playlist: LO Development Resource Clips
clip_thumbnail,lo-dev-016,life-of-a-loan-roles-and-responsibilities,first-file-survival-guide__life-of-a-loan-roles-and-responsibilities__lo-kickoff.jpg,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/thumbnails/first-file-survival-guide__life-of-a-loan-roles-and-responsibilities__lo-kickoff.jpg,Thumbnails,,,"restricted (link, not public)",Thumbnail for lo-dev-016
clip_caption,lo-dev-016,life-of-a-loan-roles-and-responsibilities,first-file-survival-guide__life-of-a-loan-roles-and-responsibilities__lo-kickoff.srt,LF-Projects-Folder/LO Development/LO Development Platform Cutdown Library/captions/first-file-survival-guide__life-of-a-loan-roles-and-responsibilities__lo-kickoff.srt,Captions,,,"restricted (link, not public)",Caption for lo-dev-016
